Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,8308229.5,8376938.5,8287634.5,8315985.5,8315985.5,21442786101341
2020-01-02,8318730.5,8335989.5,8026049.5,8084144.5,8084144.5,24073835152756
2020-01-03,8082939.5,8638980.0,8022294.0,8563107.0,8563107.0,32774051275895
2020-01-04,8563679.0,8659292.0,8521870.0,8639788.0,8639788.0,21503438108393
2020-01-05,8639549.0,8795827.0,8628617.0,8641188.0,8641188.0,22998351377088
2020-01-06,8640180.0,9083929.0,8638828.0,9069786.0,9069786.0,27172707743242
2020-01-07,9069159.0,9547740.0,9068629.0,9530784.0,9530784.0,33584662881905
2020-01-08,9528733.0,9809657.0,9240281.0,9385084.0,9385084.0,36788944488109
2020-01-09,9387910.0,9387910.0,9097345.0,9130347.0,9130347.0,27864734211499
2020-01-10,9129462.0,9464465.0,8956182.0,9464465.0,9464465.0,33278192654077
2020-01-11,9459408.0,9524503.0,9305793.0,9314943.0,9314943.0,29577243852389
2020-01-12,9309988.0,9503300.0,9281939.0,9494527.0,9494527.0,26543481957859
2020-01-13,9491373.0,9490006.0,9348941.0,9406056.0,9406056.0,25966412690024
2020-01-14,9402289.0,10283717.0,9402289.0,10223875.0,10223875.0,51933512263727
2020-01-15,10221072.0,10288133.0,10024157.0,10198166.0,10198166.0,46437480175799
2020-01-16,10204501.0,10250925.0,9986070.0,10117585.0,10117585.0,36317017575447
2020-01-17,10119237.0,10383314.0,10060133.0,10370720.0,10370720.0,42244784935124
2020-01-18,10368600.0,10467308.0,10252593.0,10386715.0,10386715.0,37559029395122
2020-01-19,10385132.0,10644040.0,10011878.0,10111782.0,10111782.0,39741366570255
2020-01-20,10109908.0,10133691.0,9931862.0,10030312.0,10030312.0,30611643341808
2020-01-21,10031874.0,10244877.0,9996662.0,10230423.0,10230423.0,28187714498916
2020-01-22,10228453.0,10238210.0,10068029.0,10110877.0,10110877.0,26323135663834
2020-01-23,10110614.0,10136603.0,9751106.0,9823854.0,9823854.0,30115616707545
2020-01-24,9822746.0,9959436.0,9658729.0,9883185.0,9883185.0,28551413739169
2020-01-25,9876966.0,9898420.0,9708567.0,9792390.0,9792390.0,22992093271522
2020-01-26,9788367.0,10066530.0,9742831.0,10060011.0,10060011.0,25952320436250
2020-01-27,10060571.0,10572037.0,10060571.0,10485610.0,10485610.0,33713906661380
2020-01-28,10488793.0,11015529.0,10479429.0,10999900.0,10999900.0,40431596196035
2020-01-29,10998584.0,11095545.0,10927869.0,10985052.0,10985052.0,36177237785981
2020-01-30,10984329.0,11355992.0,10916182.0,11297730.0,11297730.0,38469567574056
2020-01-31,11296922.0,11294267.0,11043608.0,11182953.0,11182953.0,35200374729392
2020-02-01,11177963.0,11289148.0,11138354.0,11233597.0,11233597.0,31002719489742
2020-02-02,11229944.0,11324398.0,11024241.0,11175861.0,11175861.0,36879543114345
2020-02-03,11176242.0,11402271.0,11009205.0,11062636.0,11062636.0,36822711120142
2020-02-04,11061827.0,11114937.0,10810710.0,10865486.0,10865486.0,35377984974636
2020-02-05,10868389.0,11488765.0,10859906.0,11387101.0,11387101.0,41720531105792
2020-02-06,11392309.0,11621984.0,11282647.0,11537599.0,11537599.0,44620259161856
2020-02-07,11533095.0,11738128.0,11533095.0,11680585.0,11680585.0,41164543906170
2020-02-08,11677159.0,11776937.0,11541035.0,11763070.0,11763070.0,41938793261167
2020-02-09,11761610.0,12078237.0,11745509.0,12063021.0,12063021.0,42696963235732
2020-02-10,12061692.0,12069407.0,11623670.0,11706008.0,11706008.0,46776646089958
2020-02-11,11705153.0,12062565.0,11494625.0,12063277.0,12063277.0,44489464929040
2020-02-12,12056366.0,12251158.0,12056366.0,12174005.0,12174005.0,51219096443691
2020-02-13,12171536.0,12371478.0,11976625.0,12094438.0,12094438.0,58440549771118
2020-02-14,12091088.0,12218043.0,11976279.0,12204183.0,12204183.0,51289968869925
2020-02-15,12206243.0,12239025.0,11686187.0,11703936.0,11703936.0,51913415091397
2020-02-16,11703646.0,11898671.0,11506251.0,11755699.0,11755699.0,51326616579402
2020-02-17,11758216.0,11760885.0,11261702.0,11481075.0,11481075.0,54499704707191
2020-02-18,11482364.0,12106066.0,11475202.0,12073540.0,12073540.0,56273790465358
2020-02-19,12075685.0,12159688.0,11468881.0,11486417.0,11486417.0,56031169661223
2020-02-20,11481574.0,11498957.0,11487065.0,11575331.0,11575331.0,54121461007310
2020-02-21,11579314.0,11743457.0,11544709.0,11692213.0,11692213.0,49406035986102
2020-02-22,11693740.0,11706444.0,11588752.0,11664137.0,11664137.0,43259005022954
2020-02-23,11664302.0,11995142.0,11657630.0,11979584.0,11979584.0,49713401724086
2020-02-24,11976046.0,12012454.0,11626133.0,11760186.0,11760186.0,54937347240507
2020-02-25,11761572.0,11775615.0,11312673.0,11355310.0,11355310.0,51679424552486
2020-02-26,11351159.0,11385888.0,10569393.0,10693560.0,10693560.0,61126750154658
2020-02-27,10699102.0,10804691.0,10423098.0,10649530.0,10649530.0,55123972943110
2020-02-28,10654664.0,10802926.0,10254027.0,10409678.0,10409678.0,53540591248177
2020-02-29,10408186.0,10533523.0,10322119.0,10322119.0,10322119.0,42962145656464
2020-03-01,10322419.0,10474905.0,10168124.0,10277642.0,10277642.0,42430132146924
2020-03-02,10278615.0,10614037.0,10241845.0,10546659.0,10546659.0,50960776495097
2020-03-03,10541567.0,10619251.0,10320201.0,10428598.0,10428598.0,50300950956353
2020-03-04,10429495.0,10493449.0,10330243.0,10371464.0,10371464.0,41160948363707
2020-03-05,10377434.0,10893306.0,10373843.0,10789837.0,10789837.0,47179946947403
2020-03-06,10789297.0,10923523.0,10762446.0,10844882.0,10844882.0,48535001661842
2020-03-07,10843759.0,10893237.0,10569317.0,10592153.0,10592153.0,43054686823460
2020-03-08,10590075.0,10597372.0,9634714.0,9638118.0,9638118.0,47516026370800
2020-03-09,9641720.0,9765103.0,9210584.0,9516733.0,9516733.0,56373912843282
2020-03-10,9514934.0,9695903.0,9310587.0,9373029.0,9373029.0,50023517755662
2020-03-11,9373456.0,9459998.0,9102092.0,9425678.0,9425678.0,46086643367164
2020-03-12,9428283.0,9480685.0,5878840.5,6019475.0,6019475.0,65368593210616
2020-03-13,6076442.5,7049348.5,5024336.5,6742100.0,6742100.0,89863176400437
2020-03-14,6753455.5,6816649.5,6210559.0,6301804.0,6301804.0,43812030379991
2020-03-15,6302652.5,7072904.5,6264137.5,6534461.0,6534461.0,41198981895195
2020-03-16,6525875.0,6525875.0,5622932.0,6183004.5,6183004.5,55940138218299
2020-03-17,6168329.0,6667025.0,6163693.0,6474502.5,6474502.5,47853068370341
2020-03-18,6476341.5,6699556.0,6390658.5,6581260.0,6581260.0,47588652868865
2020-03-19,6590026.5,7962491.5,6718586.0,7787777.5,7787777.5,64152800156350
2020-03-20,7788357.5,8522132.0,7355749.5,7779156.5,7779156.5,68323212859847
2020-03-21,7788874.5,8004240.5,7445396.5,7761949.0,7761949.0,53328335834367
2020-03-22,7762566.0,7981102.0,7306806.0,7315012.5,7315012.5,50311617270029
